reg_no,student_name,class,term,attendance,subject,marks
A12-001,Rahul Sharma,12A,1,87.0,mathematics,78.0
A12-001,Rahul Sharma,12A,2,91.0,mathematics,81.0
A12-001,Rahul Sharma,12A,3,93.0,mathematics,84.0
A12-002,Priya Iyer,12A,1,76.0,mathematics,65.0
A12-002,Priya Iyer,12A,2,82.0,mathematics,69.0
A12-002,Priya Iyer,12A,3,84.0,mathematics,72.0
A12-003,Aman Verma,12A,1,,mathematics,40.0
A12-003,Aman Verma,12A,2,58.0,mathematics,44.0
A12-003,Aman Verma,12A,3,63.0,mathematics,47.0
A12-004,Neha Kapoor,12A,1,,mathematics,92.0
A12-004,Neha Kapoor,12A,2,97.0,mathematics,94.0
A12-004,Neha Kapoor,12A,3,98.0,mathematics,96.0
A12-005,Arjun Nair,12A,1,72.0,mathematics,58.0
A12-005,Arjun Nair,12A,2,75.0,mathematics,61.0
A12-005,Arjun Nair,12A,3,79.0,mathematics,64.0
A12-006,Sanya Mehta,12A,1,46.0,mathematics,33.0
A12-006,Sanya Mehta,12A,2,55.0,mathematics,38.0
A12-006,Sanya Mehta,12A,3,62.0,mathematics,42.0
A12-007,Rohit Kulkarni,12A,1,89.0,mathematics,85.0
A12-007,Rohit Kulkarni,12A,2,91.0,mathematics,88.0
A12-007,Rohit Kulkarni,12A,3,95.0,mathematics,91.0
A12-008,Ishita Singh,12A,1,,mathematics,74.0
A12-008,Ishita Singh,12A,2,83.0,mathematics,78.0
A12-008,Ishita Singh,12A,3,86.0,mathematics,82.0
A12-009,Varun Patel,12A,1,68.0,mathematics,52.0
A12-009,Varun Patel,12A,2,72.0,mathematics,56.0
A12-009,Varun Patel,12A,3,77.0,mathematics,60.0
A12-010,Ananya Reddy,12A,1,95.0,mathematics,90.0
A12-010,Ananya Reddy,12A,2,97.0,mathematics,93.0
A12-010,Ananya Reddy,12A,3,99.0,mathematics,96.0
A12-011,Kunal Deshmukh,12A,1,74.0,mathematics,62.0
A12-011,Kunal Deshmukh,12A,2,78.0,mathematics,66.0
A12-011,Kunal Deshmukh,12A,3,82.0,mathematics,70.0
A12-012,Simran Kaur,12A,1,91.0,mathematics,88.0
A12-012,Simran Kaur,12A,2,94.0,mathematics,91.0
A12-012,Simran Kaur,12A,3,97.0,mathematics,94.0
A12-013,Harsh Vardhan,12A,1,61.0,mathematics,45.0
A12-013,Harsh Vardhan,12A,2,67.0,mathematics,49.0
A12-013,Harsh Vardhan,12A,3,73.0,mathematics,53.0
A12-014,Divya Nambiar,12A,1,88.0,mathematics,79.0
A12-014,Divya Nambiar,12A,2,92.0,mathematics,83.0
A12-014,Divya Nambiar,12A,3,95.0,mathematics,87.0
A12-015,Rajat Sinha,12A,1,,mathematics,30.0
A12-015,Rajat Sinha,12A,2,52.0,mathematics,36.0
A12-015,Rajat Sinha,12A,3,60.0,mathematics,42.0
A12-016,Pooja Menon,12A,1,84.0,mathematics,73.0
A12-016,Pooja Menon,12A,2,87.0,mathematics,77.0
A12-016,Pooja Menon,12A,3,90.0,mathematics,81.0
A12-017,Sachin Pillai,12A,1,69.0,mathematics,55.0
A12-017,Sachin Pillai,12A,2,73.0,mathematics,59.0
A12-017,Sachin Pillai,12A,3,78.0,mathematics,63.0
A12-018,Aditi Kulshreshtha,12A,1,96.0,mathematics,95.0
A12-018,Aditi Kulshreshtha,12A,2,98.0,mathematics,97.0
A12-018,Aditi Kulshreshtha,12A,3,100.0,mathematics,99.0
A12-019,Nikhil Bansal,12A,1,77.0,mathematics,68.0
A12-019,Nikhil Bansal,12A,2,81.0,mathematics,72.0
A12-019,Nikhil Bansal,12A,3,85.0,mathematics,76.0
A12-020,Megha Agarwal,12A,1,88.0,mathematics,82.0
A12-020,Megha Agarwal,12A,2,91.0,mathematics,86.0
A12-020,Megha Agarwal,12A,3,94.0,mathematics,89.0
A12-034,Devansh Rao,12A,1,79.0,mathematics,71.0
A12-034,Devansh Rao,12A,2,83.0,mathematics,75.0
A12-034,Devansh Rao,12A,3,87.0,mathematics,79.0
A12-021,Riya Mukherjee,12A,1,90.0,mathematics,85.0
A12-021,Riya Mukherjee,12A,2,93.0,mathematics,89.0
A12-021,Riya Mukherjee,12A,3,96.0,mathematics,92.0
A12-047,Adarsh Shetty,12A,1,67.0,mathematics,50.0
A12-047,Adarsh Shetty,12A,2,71.0,mathematics,55.0
A12-047,Adarsh Shetty,12A,3,76.0,mathematics,60.0
A12-026,Kavya Ramesh,12A,1,82.0,mathematics,74.0
A12-026,Kavya Ramesh,12A,2,86.0,mathematics,78.0
A12-026,Kavya Ramesh,12A,3,89.0,mathematics,82.0
A12-052,Raghav Bhatia,12A,1,,mathematics,32.0
A12-052,Raghav Bhatia,12A,2,54.0,mathematics,38.0
A12-052,Raghav Bhatia,12A,3,61.0,mathematics,44.0
A12-029,Trisha Pillai,12A,1,88.0,mathematics,84.0
A12-029,Trisha Pillai,12A,2,92.0,mathematics,88.0
A12-029,Trisha Pillai,12A,3,95.0,mathematics,91.0
A12-041,Sarthak Khanna,12A,1,73.0,mathematics,63.0
A12-041,Sarthak Khanna,12A,2,77.0,mathematics,67.0
A12-041,Sarthak Khanna,12A,3,82.0,mathematics,71.0
A12-058,Naina Chatterjee,12A,1,94.0,mathematics,92.0
A12-058,Naina Chatterjee,12A,2,97.0,mathematics,95.0
A12-058,Naina Chatterjee,12A,3,99.0,mathematics,98.0
A12-023,Manav Arora,12A,1,81.0,mathematics,76.0
A12-023,Manav Arora,12A,2,85.0,mathematics,80.0
