roll number,student name,standard,semester,attendance %,Mathematics,Physics,Chemistry,English,Computer Science,Economics
A12-001,Rahul Sharma,12A,1,87%,78,82,74,69,88,72
A12-001,Rahul Sharma,12A,2,0.91,81,85,79,73,90,76
A12-001,Rahul Sharma,12A,3,93 percent,84,88,83,75,92,80
A12-002,Priya Iyer,12A,1,76 percent,65,59,61,70,68,60
A12-002,Priya Iyer,12A,2,82%,69,64,66,74,72,63
A12-002,Priya Iyer,12A,3,0.84,72,67,70,77,75,68
A12-003,Aman Verma,12A,1,Absent,40 marks,38,42,35,45,39
A12-003,Aman Verma,12A,2,58%,44,41,46,39,49,43
A12-003,Aman Verma,12A,3,63%,47,45,50,42,52,46
A12-004,Neha Kapoor,12A,1,104,92,95,90,88,97,91
A12-004,Neha Kapoor,12A,2,97%,94,97,93,90,99,94
A12-004,Neha Kapoor,12A,3,98 percent,96,99,95,93,100,96
A12-005,Arjun Nair,12A,1,72%,58,60,55,62,59,57
A12-005,Arjun Nair,12A,2,75%,61,64,59,66,63,60
A12-005,Arjun Nair,12A,3,79%,64,68,63,69,67,65
A12-006,Sanya Mehta,12A,1,0.46,33,29,35,40,37,31
A12-006,Sanya Mehta,12A,2,55%,38,34,41,45,42,36
A12-006,Sanya Mehta,12A,3,62 percent,42,39,46,49,47,40
A12-007,Rohit Kulkarni,12A,1,89%,85/100,81,83,78,87,80
A12-007,Rohit Kulkarni,12A,2,91%,88,84,86,81,90,83
A12-007,Rohit Kulkarni,12A,3,95%,91,88,89,85,93,87
A12-008,Ishita Singh,12A,1,,74,70,68,76,72,69
A12-008,Ishita Singh,12A,2,83%,78,74,73,80,76,72
A12-008,Ishita Singh,12A,3,86%,82,79,77,84,81,76
A12-009,Varun Patel,12A,1,68%,52,49,55,58,54,51
A12-009,Varun Patel,12A,2,72 percent,56,53,59,62,58,54
A12-009,Varun Patel,12A,3,77%,60,57,63,65,62,58
A12-010,Ananya Reddy,12A,1,95%,90,92,88,85,94,89
A12-010,Ananya Reddy,12A,2,97%,93,95,91,88,97,92
A12-010,Ananya Reddy,12A,3,99%,96,98,94,91,100,95
A12-011,Kunal Deshmukh,12A,1,74%,62,65,60,68,63,61
A12-011,Kunal Deshmukh,12A,2,78%,66,69,64,72,67,65
A12-011,Kunal Deshmukh,12A,3,82%,70,73,68,76,71,69
A12-012,Simran Kaur,12A,1,91%,88,84,86,90,87,85
A12-012,Simran Kaur,12A,2,94%,91,88,89,93,90,88
A12-012,Simran Kaur,12A,3,97%,94,92,92,96,94,91
A12-013,Harsh Vardhan,12A,1,61 percent,45,48,42,50,46,44
A12-013,Harsh Vardhan,12A,2,67%,49,52,47,54,50,48
A12-013,Harsh Vardhan,12A,3,73%,53,57,51,58,54,52
A12-014,Divya Nambiar,12A,1,0.88,79,82,76,84,80,78
A12-014,Divya Nambiar,12A,2,92%,83,86,80,88,84,82
A12-014,Divya Nambiar,12A,3,95%,87,90,84,92,88,86
A12-015,Rajat Sinha,12A,1,Absent,30,28,35,33,31,29
A12-015,Rajat Sinha,12A,2,52%,36,34,41,38,35,33
A12-015,Rajat Sinha,12A,3,60%,42,39,46,43,40,37
A12-016,Pooja Menon,12A,1,84%,73,76,71,78,74,72
A12-016,Pooja Menon,12A,2,87%,77,80,75,82,78,76
A12-016,Pooja Menon,12A,3,90%,81,84,79,86,82,80
A12-017,Sachin Pillai,12A,1,69%,55,58,53,61,57,54
A12-017,Sachin Pillai,12A,2,73%,59,62,57,65,61,58
A12-017,Sachin Pillai,12A,3,78%,63,66,61,69,65,62
A12-018,Aditi Kulshreshtha,12A,1,96%,95,93,94,97,96,92
