reg_no,student_name,class,term,attendance,freedom_movement_in_karnataka,quest_and_art_of_communication,hindi_kavya_sangraha,database_management_system,csharp_and_dotnet_framework,computer_communication_and_networks,financial_education_and_investment_awareness
U001,Kailasam,BCA-A,Sem 3,77,69,95,79,62,41,35,14
U002,Sakshini,BCA-B,Sem 3,94,54,36,46,84,75,48,42
U003,Zainclair,BCA-A,Sem 3,80,77,80,75,91,94,56,28
U004,Waleed,BCA-B,Sem 3,91,95,35,71,72,38,53,10
U005,Paragkrishna,BCA-A,Sem 3,988,56,88,77,35,,95,22
U006,Jagdeep,BCA-B,Sem 3,70,38,86,77,65,38,95,44
U007,Eeshwara,BCA-A,Sem 3,64,54,59,42,45,63,51,3
U008,Jagath,BCA-B,Sem 3,74,68,36,57,39,86,38,3
U009,Ashok,BCA-A,Sem 3,61,70,84,80,70,56,88,41
U010,Biswajit,BCA-B,Sem 3,91,42,95,69,56,63,49,45
U011,Chethan,BCA-A,Sem 3,94,66,36,37,35,60,36,46
U012,Aashika,BCA-B,Sem 3,95,75,40,42,91,85,73,49
U013,Dara,BCA-A,Sem 3,74,75,73,71,70,62,70,44
U014,Oliniyu,BCA-B,Sem 3,63,59,65,94,87,72,68,43
U015,Gauri,BCA-A,Sem 3,110,59,42,76,68,,84,8
U016,Jagati,BCA-B,Sem 3,73,41,51,91,52,52,49,34
U017,Darren,BCA-A,Sem 3,81,40,74,67,59,79,70,1
U018,Galal,BCA-B,Sem 3,81,72marks,60,43,79 marks,60,50,12
U019,Abhalisa,BCA-A,Sem 3,72,83,71,55,62,56,61,21
U020,Chhaliya,BCA-B,Sem 3,62,60,55,64,75,70,69,16
U021,Sakshini,BCA-A,Sem 3,83,45,88,37,65,83,66,45
U022,Eeshithra,BCA-B,Sem 3,66,52,54,50,81,84,53,36
U023,Fahim,BCA-A,Sem 3,93,65 score,40,47,72marks,54,50,33
U024,Harideva,BCA-B,Sem 3,74,55,45,52,35,36,69,5
U025,Tarak,BCA-A,Sem 3,86,65,70,94,84,74,50,38
U026,Hafid,BCA-B,Sem 3,74,72marks,87 Score,65 score,65 score,72marks,87 Score,33
U027,Radhakrishna,BCA-A,Sem 3,62,58,52,39,37,84,40,35
U028,Aaryai,BCA-B,Sem 3,82,68,36,83,60,70,75,40
U029,Aaryara,BCA-A,Sem 3,91,57,78,45,35,92,45,16
U030,Sachini,BCA-B,Sem 3,91,81,76,94,61,37,85,16
U031,Indirali,BCA-A,Sem 3,94,39,35,55,59,95,76,44
U032,Riyaalit,BCA-B,Sem 3,76,35,46,41,76,81,64,40
U033,Aashira,BCA-A,Sem 3,76,95,47,54,36,37,87,11
U034,Usha,BCA-B,Sem 3,82,62,89,62,53,62,68,5
U035,Chandanna,BCA-A,Sem 3,79,35,61,94,83,47,42,40
U036,Arjun,BCA-B,Sem 3,eighty,22,24,26,17,16,20,11
U037,Chaitanya,BCA-A,Sem 3,84,88,84,36,44,55,81,33
U038,Qitara,BCA-B,Sem 3,eighty,19,26,22,11,28,17,19
U039,Atharva,BCA-A,Sem 3,87,53,36,79,67,62,41,21
U040,Chanchar,BCA-B,Sem 3,71,74,64,77,42,78,94,19
