reg_no,student_name,class,term,attendance,indian_constitution,quest_and_art_of_communication_2,hindi_anuvad,python_programming,computer_multimedia_and_animation,operating_system_concepts,artificial_intelligence
U001,Kailasam,BCA-A,Sem 4,72,91,45,69,54,37,53,30
U002,Sakshini,BCA-B,Sem 4,93,69,83,85,73,46,56,37
U003,Zainclair,BCA-A,Sem 4,78,62,41,46,88,45,84,6
U004,Waleed,BCA-B,Sem 4,85,59,82,92,93,52,53,6
U005,Paragkrishna,BCA-A,Sem 4,71,63,72marks,65 score,65 score,89,72marks,9
U006,Jagdeep,BCA-B,Sem 4,120,42,52,,95,40,54,17
U007,Eeshwara,BCA-A,Sem 4,64,83,44,91,36,90,69,11
U008,Jagath,BCA-B,Sem 4,78,95,36,94,37,40,79,46
U009,Ashok,BCA-A,Sem 4,60,62,50,83,63,73,61,11
U010,Biswajit,BCA-B,Sem 4,92,67,74,52,57,66,76,43
U011,Chethan,BCA-A,Sem 4,63,66,65 score,88,79 marks,65 score,45,29
U012,Aashika,BCA-B,Sem 4,120,47,56,,60,79,,12
U013,Dara,BCA-A,Sem 4,78,87,49,43,76,82,43,0
U014,Oliniyu,BCA-B,Sem 4,68,63,84,78,81,52,65,43
U015,Gauri,BCA-A,Sem 4,94,74,87,57,90,52,41,5
U016,Jagati,BCA-B,Sem 4,95,48,85,89,83,58,56,41
U017,Darren,BCA-A,Sem 4,eighty,18,17,15,23,28,17,18
U018,Galal,BCA-B,Sem 4,87,67,47,94,43,82,85,19
U019,Abhalisa,BCA-A,Sem 4,75 percent,19,21,10,25,26,10,5
U020,Chhaliya,BCA-B,Sem 4,89,67,36,56,48,89,77,48
U021,Sakshini,BCA-A,Sem 4,81,90,67,51,84,40,93,14
U022,Eeshithra,BCA-B,Sem 4,91,48,80,80,71,64,49,43
U023,Fahim,BCA-A,Sem 4,79,69,80,46,49,72,92,41
U024,Harideva,BCA-B,Sem 4,70,71,45,66,75,90,43,14
U025,Tarak,BCA-A,Sem 4,78,73,93,65,65,63,90,24
U026,Hafid,BCA-B,Sem 4,79,67,71,61,62,49,88,24
U027,Radhakrishna,BCA-A,Sem 4,76,35,95,63,91,69,69,47
U028,Aaryai,BCA-B,Sem 4,90,75,38,91,66,50,55,40
U029,Aaryara,BCA-A,Sem 4,93,86,68,77,66,61,78,11
U030,Sachini,BCA-B,Sem 4,0.90,21,23,20,17,10,23,7
U031,Indirali,BCA-A,Sem 4,85,36,91,95,79,65 score,47,16
U032,Riyaalit,BCA-B,Sem 4,84,57,82,84,93,63,83,14
U033,Aashira,BCA-A,Sem 4,78,70,67,78,65,52,95,13
U034,Usha,BCA-B,Sem 4,69,81,94,78,95,57,84,14
U035,Chandanna,BCA-A,Sem 4,80%,18,20,20,10,30,27,4
U036,Arjun,BCA-B,Sem 4,89,53,43,42,72,80,64,31
U037,Chaitanya,BCA-A,Sem 4,66,52,88,89,69,72,77,15
U038,Qitara,BCA-B,Sem 4,110,39,,44,37,59,,22
U039,Atharva,BCA-A,Sem 4,0.75,14,22,27,12,28,15,19
U040,Chanchar,BCA-B,Sem 4,84,76,72marks,91,55,85,89,50
U041,Eliseo,BCA-A,Sem 4,95,58,65,87,59,72,45,21
U042,Abhalati,BCA-B,Sem 4,,102,108,105,108,102,102,60
U043,Omerede,BCA-A,Sem 4,92,35,66,69,69,78,71,11
U044,Chitragupta,BCA-B,Sem 4,93,68,84,69,54,49,86,34
U045,Abha,BCA-A,Sem 4,80,94,47,83,92,35,75,29
U046,Kailin,BCA-B,Sem 4,63,68 MARKS,87 Score,87 Score,76,87 Score,73,34
U047,Gauribala,BCA-A,Sem 4,77,88,73,59,48,37,92,47
U048,Riya,BCA-B,Sem 4,90,89,90,36,92,74,93,13
U049,Ushabharti,BCA-A,Sem 4,81,77,41,83,80,68 MARKS,72,28
U050,Abhalaya,BCA-B,Sem 4,63,44,69,49,43,75,55,26
U051,Yasmin,BCA-A,Sem 4,65,90,88,43,79,50,78,23
U052,Aneesh,BCA-B,Sem 4,80,68,41,46,69,84,77,33
U053,Sakshini,BCA-A,Sem 4,90,77,47,82,46,64,91,14
U054,Rajeshpannalal,BCA-B,Sem 4,94,44,94,47,70,91,38,21
U055,Fahir,BCA-A,Sem 4,93,89,59,66,85,78,45,17
U056,Abhalika,BCA-B,Sem 4,91,69,43,86,65,66,83,28
